sequence_name,n_frames,speas_before,speas_after,speas_improvement_pct,stereo_before,stereo_after,stereo_improvement_pct,dgc_before,dgc_after,dgc_improvement_pct,imu_eas,imu_improvement_pct
0001_sync,107,0.45553912570543376,0.4556903237494353,0.029201374281644845,0.4374324771288399,0.4384956153753762,0.24570316613815604,0.005640142684297584,0.0014716336830295012,-0.42325114550668963,0.02207586870781172,0.2934687290290834
0002_sync,76,0.3583172336220741,0.36166811224661377,0.9322805700839458,0.34009802263034017,0.3409727490261981,0.23536754292425055,0.023329065730075326,0.02240182460273469,-0.09987711081569393,0.015808734356572752,-0.32011990922361466
0005_sync,153,0.2911835176492828,0.29356300100391985,0.8136620530603232,0.26237305745579836,0.2655263606434554,1.2737239964056302,-0.010171552264271704,-0.01246752271206526,-0.2417892671632718,0.014758435802327262,-0.15241445790219565
0009_sync,442,0.3049865588208669,0.30745110087669814,0.8845951227528975,0.2883690356264287,0.2904338644842756,0.799055154745754,0.004219518028139183,0.006723182707395098,0.24956019383752934,0.018496375040012114,0.1871746244985802
0011_sync,232,0.32260821631242487,0.3235139271308636,0.2971172367267913,0.3085774390091156,0.30998326992166453,0.4762928585187403,0.014610879341677806,0.01407104814003607,-0.05799785495548285,0.018594235527040117,-0.3350658419327748
0013_sync,143,0.421490450422247,0.4217682933057105,-0.0017668340771867888,0.39672291674814025,0.39737253130732714,0.17050599579655773,0.009221043857994939,0.009734208142007147,0.03974619466266442,0.018647073774592026,0.7464568553239807
0014_sync,313,0.3175793931411859,0.31760289608099207,-0.011377363277289852,0.2967148057568949,0.29743068686689433,0.23859366536219223,0.012087295074390346,0.013429086243182557,0.12896715914276544,0.017725557898180172,-0.1595185547323661
0017_sync,113,0.38333490701903283,0.38367583872997657,0.09073217196345001,0.3462763816381978,0.3464333006238515,0.045581466650056746,-0.012832630934622304,-0.011756050357166512,0.1054109481700776,0.020248268425992106,0.02529177615501541
0018_sync,269,0.38890067629211456,0.3887790978841179,-0.03288439021416386,0.3524425639095803,0.35323720284110993,0.22855483004690183,-0.00899028099618144,-0.006239485051971947,0.27183816152722634,0.020527099979328178,-0.08200467291652228
0048_sync,21,0.2620260914166768,0.2619929157552265,-0.006937437528513031,0.23725771123454684,0.23757630373750413,0.15335841835182418,-0.014340715100323516,-0.007312960597032327,0.6880435504540505,0.011364369874908811,-0.6453626116843731
0051_sync,437,0.27470089870268477,0.275583268678161,0.33516850195938913,0.25114848418694063,0.25138766115671984,0.16308360881530326,0.010041510902592397,0.01040289381440323,0.03300621698570172,0.013130199475303394,0.0531297959160329
0056_sync,293,0.36128687975553114,0.36242878325156386,0.32276356228647773,0.3393006155413572,0.3383175947356956,-0.2160557567353137,-0.003654226063727441,0.0010376696502116395,0.4622447884005352,0.019185569076941893,-0.027617308589925633
0057_sync,360,0.3342842583027151,0.3350863820976681,0.24709014042615152,0.30745882938305535,0.3075628585285611,0.037111697248239976,0.03135120092968767,0.030223403402811124,-0.11695339319125674,0.015637434866382843,0.004627758891864129
0059_sync,372,0.3407843774685296,0.3428387009809094,0.6234982710231998,0.32431563967338173,0.3257583861629809,0.49940429583893864,0.012106115900421847,0.015136411572612932,0.3013132173022451,0.01776410779735494,-0.10613903286512036
0060_sync,77,0.25596245813679386,0.25578126408062973,-0.068612253592525,0.2512038313336187,0.25116264936211824,-0.016625886720523675,0.0065062307531933315,0.006237106153578195,-0.02715708820717115,0.014341581818442067,0.2758549070861851
0084_sync,382,0.27735869278302366,0.27931798148061593,0.7193248928138098,0.26314671637968245,0.2630979354390923,-0.03647065013718233,-0.016909438733414366,-0.014757774116099841,0.20870091493312642,0.014456766084597217,-0.2634148319353107
0091_sync,339,0.30226591669001057,0.30717102664586016,1.6872683107004205,0.281419835435254,0.2831852633429136,0.6673724000018492,-0.016546397847616877,-0.011479512020065738,0.49403004243513177,0.01344066965434931,0.08449771071505961
0093_sync,432,0.23995133803260546,0.24389875676758863,1.7237574360638928,0.22452732168689923,0.22743480235200236,1.461709894446061,-0.012230547829441699,-0.009244036445091263,0.2894490802396514,0.01076801465306845,-0.34576049009147064
0095_sync,267,0.3023290025272619,0.3049315575245168,0.8967484276787633,0.28430332020204163,0.2852375169706702,0.3825048825111229,-0.006957771923610581,-0.003597469531754616,0.32685690553668817,0.012951943939656353,0.20145841692171412
0096_sync,474,0.33098324444852295,0.33321024600086335,0.7269664350287175,0.30987611570187257,0.3111519993043147,0.5249379504054262,0.01935216477350275,0.01850005951894074,-0.09252290117478713,0.017188402835892725,0.20080455239820857
0104_sync,311,0.30761667410468746,0.30977868995482516,0.7302329806665109,0.28804066772437936,0.2874579665841014,-0.20603055608752005,-0.010862293166051907,-0.006725583128713747,0.3925481804623131,0.014806612044381176,0.1937735748708634
0106_sync,226,0.2845480456552674,0.2879829301902678,1.2075536284177106,0.2675078632557287,0.2690564545646178,0.5764567584574803,-0.014493010181339203,-0.008486250970236142,0.5880683057005108,0.014607210359247648,-0.0042108901073478165
0113_sync,86,0.29729349096847135,0.3039911618066389,2.0809270517562672,0.27545309560590014,0.2779543561817602,0.5701250620960966,-0.04745112840346126,-0.0392335407046038,0.7807849333237744,0.01167213957930027,0.20536372763499042
0117_sync,659,0.33333665367685067,0.33697155387068733,1.170722512673406,0.31848378171960573,0.3203866075221251,0.6732344845672391,-0.024945583861784575,-0.019856463452363093,0.48705887479529564,0.016072396172015547,0.16008599025860576

MEAN,,0.32286117090226235,0.32477824208726463,0.6415846834030872,0.30218543870698333,0.3031922473764721,0.37281230331863674,-0.002163350388744737,-7.450506067589041e-05,0.1995032877872889,0.01601121115598746,0.007931659071631745
STD,,0.052212568461966716,0.05163170799056751,0.6102303890484337,0.04980193148223179,0.04959660260705352,0.41252858085633953,0.017570827320743953,0.015519973072482016,0.30131180396995805,0.003057099442055368,0.28264644652270854
TTEST_P (SPEAS),2.2900127825640915e-05,TTEST_P (Stereo),9.646952122815081e-05
WILCOXON_P (SPEAS),5.125999450683594e-06,WILCOXON_P (Stereo),7.62939453125e-05
COHENS_D (SPEAS),1.0794000076034365,COHENS_D (Stereo),0.9609386390770555
